time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-17 00:00:00+00:00,0,0,8,8
2024-09-18 00:00:00+00:00,57,11,706,327
2024-09-19 00:00:00+00:00,210,13,561,334
2024-09-20 00:00:00+00:00,178,11,545,268
2024-09-21 00:00:00+00:00,89,5,423,268
2024-09-22 00:00:00+00:00,40,7,410,263
2024-09-23 00:00:00+00:00,62,8,619,317
2024-09-24 00:00:00+00:00,116,11,764,313
2024-09-25 00:00:00+00:00,179,17,786,393
2024-09-26 00:00:00+00:00,48,10,513,363
2024-09-27 00:00:00+00:00,195,11,643,365
2024-09-28 00:00:00+00:00,8,5,379,306
2024-09-29 00:00:00+00:00,3,2,405,315
2024-09-30 00:00:00+00:00,216,9,496,394
2024-10-01 00:00:00+00:00,255,21,383,90
2024-10-02 00:00:00+00:00,147,18,667,375
2024-10-03 00:00:00+00:00,89,14,670,424
2024-10-04 00:00:00+00:00,68,7,681,487
2024-10-05 00:00:00+00:00,15,4,528,425
2024-10-06 00:00:00+00:00,4,3,506,404
2024-10-07 00:00:00+00:00,67,8,722,508
2024-10-08 00:00:00+00:00,62,11,641,480
2024-10-09 00:00:00+00:00,235,18,757,488
2024-10-10 00:00:00+00:00,277,14,784,470
2024-10-11 00:00:00+00:00,92,10,724,508
2024-10-12 00:00:00+00:00,46,4,597,431
2024-10-13 00:00:00+00:00,7,4,658,466
2024-10-14 00:00:00+00:00,258,23,773,486
2024-10-15 00:00:00+00:00,285,15,759,481
2024-10-16 00:00:00+00:00,123,11,761,481
2024-10-17 00:00:00+00:00,94,10,852,480
2024-10-18 00:00:00+00:00,119,11,695,451
2024-10-19 00:00:00+00:00,40,3,562,432
2024-10-20 00:00:00+00:00,2,2,580,443
2024-10-21 00:00:00+00:00,110,10,692,462
2024-10-22 00:00:00+00:00,190,15,670,411
2024-10-23 00:00:00+00:00,272,13,775,399
2024-10-24 00:00:00+00:00,301,28,894,446
2024-10-25 00:00:00+00:00,173,12,627,397
2024-10-26 00:00:00+00:00,16,5,614,380
2024-10-27 00:00:00+00:00,38,6,514,399
2024-10-28 00:00:00+00:00,190,10,709,433
2024-10-29 00:00:00+00:00,142,12,751,440
2024-10-30 00:00:00+00:00,114,7,627,421
2024-10-31 00:00:00+00:00,327,13,723,450
2024-11-01 00:00:00+00:00,254,8,606,446
2024-11-02 00:00:00+00:00,0,0,498,381
2024-11-03 00:00:00+00:00,16,4,517,414
2024-11-04 00:00:00+00:00,234,10,783,485
2024-11-05 00:00:00+00:00,234,8,646,410
2024-11-06 00:00:00+00:00,23,2,552,426
